Connected Vehicles, TuM01.2,Towards a Generic Synthesis Framework for ADAS Control Laws (I)
Connected Vehicles, WeA01.3,Hybrid Satellite Position Estimator Using Self-Induced Dither for SATCOM on the Move (I)
