E-learning in control engineering, FrM20.5,Comparing Controllers Based on IPDT Plant Models
E-learning in control engineering, ThP19.1,Team Public Testing in Classroom Studies on Automatic Control Theory
E-learning in control engineering, WeM33.2,Demonstration of PISim - Software for Teaching Chemical Process Control (I)
E-learning in control engineering, WeM33.5,Low-Cost Carry-Home Mobile Platforms for Project-Based Evaluation of Control Theory (I)
E-learning in control engineering, WeM33.7,A Khepera IV Library for Robotic Control Education Using V-REP (I)
